t,theta,theta_dot,torque,reward
650,0.5213850140571594,0.7959643006324768,-0.7017792463302612,-0.3039305670131457
651,0.5586215257644653,0.7447301149368286,-0.7400267124176025,-0.33574592244395285
652,0.593230664730072,0.6921825408935547,-0.7743312120437622,-0.36811991655617693
653,0.6251586079597473,0.6385589838027954,-0.8047245740890503,-0.40048188576327615
654,0.6543634533882141,0.584097146987915,-0.8312596678733826,-0.4322900580536561
655,0.6808152198791504,0.5290347933769226,-0.8540059328079224,-0.46303784222839306
656,0.7044956684112549,0.47360900044441223,-0.8730465769767761,-0.49225935573948787
657,0.7253984212875366,0.41805553436279297,-0.8884761929512024,-0.5195340892591678
658,0.7435288429260254,0.3626077473163605,-0.9003987312316895,-0.544490667497554
659,0.7589036226272583,0.3074956238269806,-0.9089258313179016,-0.5668097122763098
660,0.7715508341789246,0.2529444396495819,-0.9141756892204285,-0.5862257718220627
661,0.7815094590187073,0.19917339086532593,-0.9162718653678894,-0.6025283383589888
662,0.7888292074203491,0.14639423787593842,-0.915342390537262,-0.6155619657814728
663,0.7935696840286255,0.09480989724397659,-0.9115185737609863,-0.6252255306413561
664,0.7958003878593445,0.044613033533096313,-0.904934823513031,-0.631470690211259
665,0.7955995798110962,-0.004015202634036541,-0.895727276802063,-0.6342995819574123
666,0.7930542826652527,-0.050906188786029816,-0.8840332627296448,-0.633761859732659
667,0.7882590293884277,-0.0959048718214035,-0.8699909448623657,-0.6299511450500517
668,0.7813155055046082,-0.1388704627752304,-0.8537387847900391,-0.6230009784025086
669,0.772331714630127,-0.17967699468135834,-0.8354147672653198,-0.6130803745863801
670,0.7614210247993469,-0.21821363270282745,-0.8151568174362183,-0.6003890858664405
671,0.7487017512321472,-0.25438493490219116,-0.793102502822876,-0.5851526661849
672,0.7342962026596069,-0.2881106436252594,-0.7693888545036316,-0.5676174406288531
673,0.7183299660682678,-0.31932583451271057,-0.7441530823707581,-0.5480454753102819
674,0.7009308934211731,-0.347980260848999,-0.7175320982933044,-0.5267096347921154
675,0.6822290420532227,-0.3740382492542267,-0.6896634697914124,-0.503888807735748
676,0.6623550653457642,-0.3974781036376953,-0.6606854796409607,-0.47986337656033917
677,0.6414405107498169,-0.4182915687561035,-0.6307369470596313,-0.4549109861202247
678,0.6196163892745972,-0.436483234167099,-0.5999578237533569,-0.42930266939325107
679,0.5970128178596497,-0.45206984877586365,-0.568489134311676,-0.4032993673755313
680,0.5737589001655579,-0.46507975459098816,-0.5364723801612854,-0.37714887528609564
681,0.5499812960624695,-0.47555211186408997,-0.5040499567985535,-0.3510832305414232
682,0.5258044600486755,-0.4835361838340759,-0.4713641405105591,-0.32531656105057677
683,0.501349925994873,-0.4890906810760498,-0.43855711817741394,-0.30004338579531725
684,0.47673580050468445,-0.4922829866409302,-0.4057699739933014,-0.2754373658903708
685,0.45207634568214417,-0.4931885600090027,-0.3731421232223511,-0.25165048987971395
686,0.42748185992240906,-0.49188998341560364,-0.3408103287220001,-0.22881267091212582
687,0.4030580222606659,-0.48847660422325134,-0.3089084327220917,-0.20703173164747385
688,0.3789058327674866,-0.48304349184036255,-0.27756574749946594,-0.1863937470228079
689,0.35512128472328186,-0.4756910502910614,-0.2469070553779602,-0.1669637023282578
690,0.3317950665950775,-0.466524213552475,-0.21705102920532227,-0.148786440095211
691,0.3090124726295471,-0.4556518495082855,-0.18811018764972687,-0.1318878453567541
692,0.28685319423675537,-0.4431861340999603,-0.1601896584033966,-0.11627624017072233
693,0.265391081571579,-0.42924195528030396,-0.13338716328144073,-0.1019439355777637
694,0.24469426274299622,-0.4139363467693329,-0.10779190063476562,-0.08886891328967989
695,0.22482486069202423,-0.39738786220550537,-0.08348450809717178,-0.07701658428090853
696,0.20583906769752502,-0.37971609830856323,-0.06053679808974266,-0.06634160021958416
697,0.1877870112657547,-0.3610411286354065,-0.03901122510433197,-0.05678967653222202
698,0.17071285843849182,-0.34148305654525757,-0.018961064517498016,-0.04829939332878011
699,0.15465480089187622,-0.3211613893508911,-0.00043008383363485336,-0.040803950068381396
700,0.139645054936409,-0.300194650888443,0.016547009348869324,-0.03423284269405832
701,0.12571005523204803,-0.27869993448257446,0.031944893300533295,-0.028513446451902236
702,0.11287043988704681,-0.2567923665046692,0.045746996998786926,-0.023572477738325555
703,0.10114119946956635,-0.23458482325077057,0.057945616543293,-0.01933732712087851
704,0.0905318334698677,-0.21218734979629517,0.06854139268398285,-0.015737244548663418
705,0.08104649186134338,-0.1897069215774536,0.07754290103912354,-0.012704373173779163
706,0.07268413156270981,-0.16724702715873718,0.08496642857789993,-0.010174624473894191
707,0.06543876975774765,-0.14490729570388794,0.09083543717861176,-0.00808839174881096
708,0.05929961055517197,-0.12278322130441666,0.09518015384674072,-0.006391104646234387
709,0.05425131693482399,-0.10096588730812073,0.0980370044708252,-0.005033627174985852
710,0.050274234265089035,-0.07954166829586029,0.09944833070039749,-0.00397250647312646
711,0.0473446361720562,-0.058592043817043304,0.09946173429489136,-0.003170079015669119
712,0.045434966683387756,-0.03819334879517555,0.0981297492980957,-0.0025944464017914983
713,0.04451413452625275,-0.0184166356921196,0.09550926834344864,-0.0022193312298493303
714,0.04454775154590607,0.0006724568665958941,0.09166107326745987,-0.002023827042210141
715,0.04549844563007355,0.019013825803995132,0.08664937317371368,-0.001992055887177516
716,0.04732609540224075,0.036552973091602325,0.0805414542555809,-0.002112748181655585
717,0.04998815059661865,0.05324108153581619,0.07340729981660843,-0.0023787599776221545
718,0.053439900279045105,0.06903498619794846,0.06531885266304016,-0.002786542964313351
719,0.057634759694337845,0.08389722555875778,0.056349977850914,-0.0033355811469225616
720,0.06252455711364746,0.09779592603445053,0.04657576233148575,-0.004027809311290775
721,0.06805980205535889,0.11070483922958374,0.03607231751084328,-0.0048670258301538386
722,0.07418995350599289,0.1226031556725502,0.024916324764490128,-0.005858313132608593
723,0.08086373656988144,0.13347549736499786,0.013184704817831516,-0.0070074769476618235
724,0.08802931755781174,0.14331169426441193,0.0009541325271129608,-0.00832051470720708
725,0.09563464671373367,0.15210671722888947,-0.011699064634740353,-0.00980312135521603
726,0.10362767428159714,0.15986044704914093,-0.024699538946151733,-0.011460241730272849
727,0.11195655167102814,0.16657757759094238,-0.03797304257750511,-0.013295673165647346
728,0.12056991457939148,0.17226728796958923,-0.051446832716464996,-0.015311725179958956
729,0.1294170767068863,0.17694315314292908,-0.06504995375871658,-0.017508938062468643
730,0.13844820857048035,0.180622860789299,-0.07871349900960922,-0.019885862853559772
731,0.14761461317539215,0.18332798779010773,-0.0923709124326706,-0.022438903086034294
732,0.1568688005208969,0.18508374691009521,-0.1059582382440567,-0.025162217294821907
733,0.16616474092006683,0.18591873347759247,-0.11941434442996979,-0.028047680642540235
734,0.17545798420906067,0.18586471676826477,-0.13268107175827026,-0.031084903103338606
735,0.18470579385757446,0.18495628237724304,-0.14570352435112,-0.03426130028076978
736,0.19386732578277588,0.18323063850402832,-0.15843011438846588,-0.037562211624615434
737,0.20290368795394897,0.18072734773159027,-0.17081278562545776,-0.04097106251623035
738,0.21177808940410614,0.17748799920082092,-0.1828070431947708,-0.04446956316069424
739,0.22045588493347168,0.17355601489543915,-0.19437216222286224,-0.04803793920488857
740,0.22890470921993256,0.168976292014122,-0.20547105371952057,-0.051655187120014885
741,0.2370944619178772,0.16379503905773163,-0.21607041358947754,-0.05529934947137693
742,0.24499742686748505,0.15805944800376892,-0.2261408120393753,-0.05894780327171115
743,0.25258830189704895,0.1518174260854721,-0.2356564998626709,-0.06257755360846472
744,0.25984418392181396,0.14511744678020477,-0.24459530413150787,-0.06616553024121381
745,0.26674458384513855,0.13800817728042603,-0.2529391646385193,-0.06968888053225814
746,0.27327150106430054,0.13053832948207855,-0.26067298650741577,-0.07312524836397642
747,0.2794093191623688,0.12275641411542892,-0.26778581738471985,-0.07645304707908769
748,0.2851448655128479,0.11471053212881088,-0.27426955103874207,-0.07965170550598906
749,0.2904672622680664,0.10644812136888504,-0.2801198959350586,-0.0827019012658665
750,0.2953680455684662,0.09801583737134933,-0.2853351831436157,-0.0855857612844327
751,0.2998410165309906,0.08945931494235992,-0.28991708159446716,-0.08828704405110147
752,0.3038821518421173,0.08082298934459686,-0.2938701808452606,-0.09079128793647816
753,0.30748966336250305,0.07214996218681335,-0.297201544046402,-0.09308593108364539
754,0.31066375970840454,0.06348184496164322,-0.29992103576660156,-0.09516040378875897
755,0.31340667605400085,0.05485861748456955,-0.3020407259464264,-0.09700618848100574
756,0.31572261452674866,0.046318501234054565,-0.3035750389099121,-0.09861685202624483
757,0.3176175057888031,0.03789783641695976,-0.3045405149459839,-0.09998804892650455
758,0.3190990686416626,0.029631013050675392,-0.30495545268058777,-0.10111749702152516
759,0.3201765716075897,0.02155035361647606,-0.3048400282859802,-0.10200492952353842
760,0.320860892534256,0.013686060905456543,-0.3042159378528595,-0.10265202229542479
761,0.32116416096687317,0.006066148169338703,-0.30310630798339844,-0.10306230132488574
762,0.32109999656677246,-0.001283586141653359,-0.30153536796569824,-0.10324103140286078
763,0.3206830322742462,-0.008339649066329002,-0.2995288372039795,-0.10319509022164795
764,0.31992897391319275,-0.015080816112458706,-0.29711297154426575,-0.10293282679282227
765,0.31885457038879395,-0.021488148719072342,-0.2943148612976074,-0.1024639124525067
766,0.3174773156642914,-0.027545040473341942,-0.29116252064704895,-0.1017991839867234
767,0.31581544876098633,-0.03323715180158615,-0.2876841723918915,-0.10095048005971619
768,0.3138878345489502,-0.038552410900592804,-0.2839084267616272,-0.09993047737188294
769,0.3117137849330902,-0.04348098114132881,-0.27986419200897217,-0.09875252633404946
770,0.309313029050827,-0.048015207052230835,-0.27558040618896484,-0.09743048905377541
771,0.3067055642604828,-0.05214958265423775,-0.2710859775543213,-0.09597858200911834
772,0.3039115071296692,-0.055880673229694366,-0.26640960574150085,-0.09441122478088405
773,0.30095115303993225,-0.05920705571770668,-0.2615796625614166,-0.09274289703648163
774,0.29784470796585083,-0.062129244208335876,-0.2566242516040802,-0.09098800479899763
775,0.29461219906806946,-0.06464961916208267,-0.2515708804130554,-0.08916075674560439
776,0.2912735939025879,-0.06677232682704926,-0.2464464157819748,-0.08727505201251294
777,0.28784847259521484,-0.06850317865610123,-0.24127697944641113,-0.08534437987641466
778,0.2843559682369232,-0.06984961777925491,-0.2360880970954895,-0.0833817320153897
779,0.2808149456977844,-0.07082051783800125,-0.23090416193008423,-0.08139952658480983
780,0.27724361419677734,-0.07142620533704758,-0.22574889659881592,-0.07940954533670072
781,0.27365970611572266,-0.07167824357748032,-0.2206447273492813,-0.07742288233667924
782,0.2700802683830261,-0.0715893805027008,-0.21561299264431,-0.0754499048387722
783,0.2665215730667114,-0.07117346674203873,-0.2106742560863495,-0.07350022607722449
784,0.2629992961883545,-0.07044528424739838,-0.20584741234779358,-0.07158268737323335
785,0.2595282793045044,-0.06942049413919449,-0.20115037262439728,-0.06970535083884559
786,0.25612249970436096,-0.06811551749706268,-0.19659988582134247,-0.06787550134848397
787,0.25279513001441956,-0.06654740124940872,-0.19221103191375732,-0.06609965572857311
788,0.2495584487915039,-0.06473373621702194,-0.18799789249897003,-0.06438357982558995
789,0.24642381072044373,-0.0626925677061081,-0.18397311866283417,-0.06273231154240275
790,0.24340170621871948,-0.06044227257370949,-0.1801479309797287,-0.06115018873865747
791,0.24050162732601166,-0.05800146609544754,-0.1765323281288147,-0.0596408817289817
792,0.2377321869134903,-0.0553889125585556,-0.17313484847545624,-0.05820742873663229
793,0.23510102927684784,-0.05262342840433121,-0.1699627935886383,-0.0568522739977299
794,0.23261483013629913,-0.0497237890958786,-0.16702207922935486,-0.05557730718555863
795,0.23027940094470978,-0.046708665788173676,-0.164317324757576,-0.05438390377729174
796,0.22809956967830658,-0.043596506118774414,-0.1618519127368927,-0.05327296548106373
797,0.2260792851448059,-0.04040548950433731,-0.15962794423103333,-0.05224496005837129
798,0.2242216318845749,-0.037153441458940506,-0.1576463282108307,-0.051299960197150586
799,0.22252872586250305,-0.03385777771472931,-0.15590696036815643,-0.05043768084639735
800,-2.286686658859253,0.20551595091819763,0.7385818362236023,-5.279984932894475
801,-2.275359630584717,0.22654077410697937,0.7437728643417358,-5.23371326345256
802,-2.262979745864868,0.24760067462921143,0.7499148845672607,-5.18295635133136
803,-2.2495415210723877,0.26876163482666016,0.7569565176963806,-5.127780702809094
804,-2.235037326812744,0.2900852859020233,0.7648464441299438,-5.068245752200625
805,-2.2194559574127197,0.31162893772125244,0.7735323309898376,-5.004405263393527
806,-2.2027835845947266,0.3334456980228424,0.7829605340957642,-4.93630880142528
807,-2.185004472732544,0.35558438301086426,0.7930752038955688,-4.864003247920889
808,-2.166099786758423,0.3780895173549652,0.8038183450698853,-4.787534380545079
809,-2.146049737930298,0.40100133419036865,0.8151279091835022,-4.706948485347598
810,-2.1248321533203125,0.42435547709465027,0.8269379734992981,-4.622294027320647
811,-2.1024229526519775,0.44818314909935,0.8391775488853455,-4.533623362060696
812,-2.0787973403930664,0.47251060605049133,0.8517699837684631,-4.440994487825751
813,-2.053929328918457,0.49735915660858154,0.8646318912506104,-4.3444728305905524
814,-2.02779221534729,0.5227448344230652,0.8776727318763733,-4.244133060152574
815,-2.0003583431243896,0.5486780405044556,0.8907938003540039,-4.140060923232864
816,-1.9716001749038696,0.5751633644104004,0.9038875699043274,-4.032355081158274
817,-1.9414901733398438,0.6021992564201355,0.9168371558189392,-3.9211289396576903
818,-1.910001277923584,0.6297773718833923,0.9295152425765991,-3.806512449328273
819,-1.8771071434020996,0.6578826308250427,0.941784143447876,-3.688653862422327
820,-1.8427824974060059,0.6864926218986511,0.9534950256347656,-3.56772141560412
